PostalCode,Province,search,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
V8J,BC,"V8J, BC",54.3136441,-130.3191086,Fish Market,Convenience Store,Hotel Bar,Supermarket,Hardware Store,Coffee Shop,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space
V8M,BC,"V8M, BC",48.5860381,-123.4206664,Electronics Store,Bridal Shop,Grocery Store,Park,Falafel Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
V8N,BC,"V8N, BC",48.4767571,-123.3251287,Athletics & Sports,Baseball Field,Skate Park,Zoo,Electronics Store,Event Space,Exhibit,Fabric Shop,Fair,Falafel Restaurant
V8R,BC,"V8R, BC",48.4372496,-123.3172537,Bakery,Baseball Field,Grocery Store,Gym,Zoo,Fair,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
V8S,BC,"V8S, BC",48.41958899999999,-123.3284138,Café,Playground,Bus Stop,Park,Fair,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
V8T,BC,"V8T, BC",48.4399898,-123.3603921,Coffee Shop,Liquor Store,Café,Pizza Place,Sporting Goods Shop,Smoke Shop,Taco Place,Bar,Sandwich Place,Restaurant
V8V,BC,"V8V, BC",48.4153294,-123.3671972,Coffee Shop,Zoo,Breakfast Spot,Yoga Studio,Hotel,Museum,Pub,Movie Theater,Liquor Store,Diner
V8W,BC,"V8W, BC",48.4261169,-123.3642211,Coffee Shop,Breakfast Spot,Bakery,Sushi Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Tapas Restaurant,Italian Restaurant,Pizza Place,Japanese Restaurant
V9B,BC,"V9B, BC",48.4690605,-123.5029896,Zoo,Wine Shop,Lake,Theme Park,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
V9E,BC,"V9E, BC",48.527525,-123.4618853,Lake,Zoo,Farm,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair,Falafel Restaurant
V9R,BC,"V9R, BC",49.165722,-124.0001699,Lake,Construction & Landscaping,Tennis Court,Campground,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
V9V,BC,"V9V, BC",49.2378912,-124.0323544,Home Service,Recreation Center,Farm,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair,Falafel Restaurant
V9W,BC,"V9W, BC",50.0146606,-125.2608554,Tour Provider,Furniture / Home Store,Zoo,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
V9Y,BC,"V9Y, BC",49.2854825,-124.8657264,Campground,River,Drugstore,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
